timestamp,VTHO,OCE,PLA,SHA,DBET,EHrT,TIC,YEET,Other
1549353060000,1171441.62,0.00,1385505.46,4644606.15,467266.09,0.00,0.00,0.00,0.00
1549363320000,1171601.56,0.00,1387189.52,4644606.15,467266.09,0.00,0.00,0.00,0.00
1549373570000,1188870.15,0.00,1411564.31,4645538.75,467938.18,0.00,0.00,0.00,0.00
1549383870000,1188750.53,0.00,1629545.74,4608889.61,467938.18,0.00,0.00,0.00,0.00
1549394020000,1078056.58,0.00,1396189.94,4578083.97,469794.84,0.00,0.00,0.00,0.00
1549404200000,1127635.94,0.00,1396189.94,4580661.72,469794.84,0.00,0.00,0.00,0.00
1549414350000,1353153.97,0.00,1396189.94,4639361.72,469189.57,0.00,0.00,0.00,0.00
1549424540000,1350636.64,0.00,1396189.94,4640357.84,470436.55,0.00,0.00,0.00,0.00
1549434700000,1350636.64,0.00,1396189.94,4640357.84,470436.55,0.00,0.00,0.00,0.00
1549444910000,1350636.64,0.00,1479989.98,4640357.84,473436.55,0.00,0.00,0.00,0.00
1549455130000,1350215.84,0.00,1594001.99,4841290.19,473436.55,0.00,0.00,0.00,0.00
1549465350000,1343101.91,0.00,1594979.06,4841290.19,473436.55,0.00,0.00,0.00,0.00
1549475570000,1342007.51,0.00,1594727.25,4841290.19,473436.55,0.00,0.00,0.00,0.00
1549485810000,1341069.12,0.00,1538734.24,4707752.45,473436.55,0.00,0.00,0.00,0.00
1549496040000,1072410.03,0.00,1535931.13,5009662.78,486774.09,0.00,0.00,0.00,0.00
1549506310000,1115612.73,0.00,1535931.13,4838881.61,486774.09,0.00,0.00,0.00,0.00
1549516480000,1113879.12,0.00,1535931.13,4840614.58,486774.09,0.00,0.00,0.00,0.00
1549526750000,1112930.71,0.00,1535931.13,4841048.14,486774.09,0.00,0.00,0.00,0.00
1549537000000,1172502.47,0.00,1511049.73,4941431.00,486774.09,0.00,0.00,0.00,0.00
1549547250000,1172502.47,0.00,1536049.73,4941087.30,486774.09,0.00,0.00,0.00,0.00
1549557350000,1172364.55,0.00,1536049.73,4954879.19,486774.09,0.00,0.00,0.00,0.00
1549567510000,1172364.55,0.00,1537924.65,4984239.39,473694.84,0.00,0.00,0.00,0.00
1549577730000,1172364.55,0.00,1537924.65,4984239.39,473694.84,0.00,0.00,0.00,0.00
1549587870000,1185352.61,0.00,1538317.59,4984239.39,473694.84,0.00,0.00,0.00,0.00
1549598050000,1185352.61,0.00,1538317.59,4984239.39,473694.84,0.00,0.00,0.00,0.00
1549608290000,1185247.76,0.00,1538317.59,4984239.39,473694.84,0.00,0.00,0.00,0.00
1549618470000,1182043.79,0.00,1500571.05,4967483.50,473694.84,0.00,0.00,0.00,0.00
1549628650000,1157307.60,0.00,1452501.87,4849285.19,473704.84,0.00,0.00,0.00,0.00
1549638860000,1163191.36,0.00,1422214.14,4883321.19,473704.84,0.00,0.00,0.00,0.00
1549649080000,1163191.36,0.00,1505322.32,4883321.19,473704.84,0.00,0.00,0.00,0.00
1549659370000,1161125.04,0.00,1473716.40,4855417.43,473704.84,0.00,0.00,0.00,0.00
1549669550000,1164801.20,0.00,1502574.37,3621264.82,497270.89,0.00,0.00,0.00,0.00
1549679780000,1164167.81,0.00,1502727.89,2974633.44,497270.89,0.00,0.00,0.00,0.00
1549690000000,1164094.96,0.00,1452767.72,3024696.67,497270.89,0.00,0.00,0.00,0.00
1549700210000,1158204.42,0.00,1543351.02,2992631.08,497352.09,0.00,0.00,0.00,0.00
