timestamp,VTHO,PLA,OCE,SHA,DBET,EHrT,TIC,YEET,Other
1549424540000,1350636.64,1396189.94,0.00,4640357.84,470436.55,0.00,0.00,0.00,0.00
1549434700000,1350636.64,1396189.94,0.00,4640357.84,470436.55,0.00,0.00,0.00,0.00
1549444910000,1350636.64,1479989.98,0.00,4640357.84,473436.55,0.00,0.00,0.00,0.00
1549455130000,1350215.84,1594001.99,0.00,4841290.19,473436.55,0.00,0.00,0.00,0.00
1549465350000,1343101.91,1594979.06,0.00,4841290.19,473436.55,0.00,0.00,0.00,0.00
1549475570000,1342007.51,1594727.25,0.00,4841290.19,473436.55,0.00,0.00,0.00,0.00
1549485810000,1341069.12,1538734.24,0.00,4707752.45,473436.55,0.00,0.00,0.00,0.00
1549496040000,1072410.03,1535931.13,0.00,5009662.78,486774.09,0.00,0.00,0.00,0.00
1549506310000,1115612.73,1535931.13,0.00,4838881.61,486774.09,0.00,0.00,0.00,0.00
1549516480000,1113879.12,1535931.13,0.00,4840614.58,486774.09,0.00,0.00,0.00,0.00
1549526750000,1112930.71,1535931.13,0.00,4841048.14,486774.09,0.00,0.00,0.00,0.00
1549537000000,1172502.47,1511049.73,0.00,4941431.00,486774.09,0.00,0.00,0.00,0.00
1549547250000,1172502.47,1536049.73,0.00,4941087.30,486774.09,0.00,0.00,0.00,0.00
1549557350000,1172364.55,1536049.73,0.00,4954879.19,486774.09,0.00,0.00,0.00,0.00
1549567510000,1172364.55,1537924.65,0.00,4984239.39,473694.84,0.00,0.00,0.00,0.00
1549577730000,1172364.55,1537924.65,0.00,4984239.39,473694.84,0.00,0.00,0.00,0.00
1549587870000,1185352.61,1538317.59,0.00,4984239.39,473694.84,0.00,0.00,0.00,0.00
1549598050000,1185352.61,1538317.59,0.00,4984239.39,473694.84,0.00,0.00,0.00,0.00
1549608290000,1185247.76,1538317.59,0.00,4984239.39,473694.84,0.00,0.00,0.00,0.00
1549618470000,1182043.79,1500571.05,0.00,4967483.50,473694.84,0.00,0.00,0.00,0.00
1549628650000,1157307.60,1452501.87,0.00,4849285.19,473704.84,0.00,0.00,0.00,0.00
1549638860000,1163191.36,1422214.14,0.00,4883321.19,473704.84,0.00,0.00,0.00,0.00
1549649080000,1163191.36,1505322.32,0.00,4883321.19,473704.84,0.00,0.00,0.00,0.00
1549659370000,1161125.04,1473716.40,0.00,4855417.43,473704.84,0.00,0.00,0.00,0.00
1549669550000,1164801.20,1502574.37,0.00,3621264.82,497270.89,0.00,0.00,0.00,0.00
1549679780000,1164167.81,1502727.89,0.00,2974633.44,497270.89,0.00,0.00,0.00,0.00
1549690000000,1164094.96,1452767.72,0.00,3024696.67,497270.89,0.00,0.00,0.00,0.00
1549700210000,1158204.42,1543351.02,0.00,2992631.08,497352.09,0.00,0.00,0.00,0.00
1549710420000,1162650.42,1567851.02,0.00,2993631.08,497352.09,0.00,0.00,0.00,0.00
1549720690000,1161407.62,1568575.98,0.00,2946422.80,497352.09,0.00,0.00,0.00,0.00
1549730910000,1171300.80,1655575.98,0.00,2886050.84,497352.09,0.00,0.00,0.00,0.00
1549741200000,1171080.01,1655575.98,0.00,2947564.93,497352.09,0.00,0.00,0.00,0.00
1549751420000,1171080.01,1655575.98,0.00,2947564.93,497352.09,0.00,0.00,0.00,0.00
1549761670000,1171059.87,1655575.98,0.00,2947564.93,497352.09,0.00,0.00,0.00,0.00
